ID1;Diam;Err;RA_d;DEC_d
HD95689                ; 6.41900e+00; 4.10000e-02;165.93196;+61.75103
HD96833                ; 4.13100e+00; 7.00000e-03;167.41587;+44.49849
HD97778                ; 6.18200e+00; 5.70000e-02;168.80095;+23.09551
HD98262                ; 4.56100e+00; 1.60000e-02;169.61974;+33.09431
HD100029               ; 6.37600e+00; 1.20000e-02;172.85092;+69.33107
HD102212               ; 5.65700e+00; 1.30000e-02;176.46483;+06.52937
HD108381               ; 2.17900e+00; 5.70000e-02;186.73447;+28.26842
HD108907               ; 5.42000e+00; 1.00000e-02;187.52780;+69.20111
HD109358               ; 1.13300e+00; 3.40000e-02;188.43560;+41.35748
HD113226               ; 3.31800e+00; 1.30000e-02;195.54416;+10.95915
HD113996               ; 3.09000e+00; 1.90000e-02;196.79471;+27.62474
HD117675               ; 5.95100e+00; 4.90000e-02;202.99119;-06.25582
HD120136               ; 8.22000e-01; 4.90000e-02;206.81560;+17.45690
HD120315               ; 9.81000e-01; 1.44000e-01;206.88516;+49.31327
HD120477               ; 4.69100e+00; 2.20000e-02;207.36934;+15.79791
HD120933               ; 5.93200e+00; 4.20000e-02;207.94781;+34.44424
HD121130               ; 6.79900e+00; 7.70000e-02;207.85808;+64.72327
HD127665               ; 3.90100e+00; 8.00000e-03;217.95746;+30.37144
HD129712               ; 5.57300e+00; 5.50000e-02;220.85568;+26.52785
HD133124               ; 3.05500e+00; 7.70000e-02;225.52712;+25.00813
HD133208               ; 2.48400e+00; 8.00000e-03;225.48651;+40.39057
HD136726               ; 2.14900e+00; 2.30000e-02;229.27455;+71.82390
HD137759               ; 3.55900e+00; 1.10000e-02;231.23239;+58.96606
HD140573               ; 4.77000e+00; 1.30000e-02;236.06698;+06.42563
HD143107               ; 2.99700e+00; 1.28000e-01;239.39688;+26.87788
HD148387               ; 3.47000e+00; 1.00000e-02;245.99786;+61.51421
HD148856               ; 3.47200e+00; 8.00000e-03;247.55500;+21.48961
HD150997               ; 2.49300e+00; 1.80000e-02;250.72402;+38.92225
HD156283               ; 5.15900e+00; 1.10000e-02;258.76181;+36.80916
HD159561               ; 1.85500e+00; 1.20000e-02;263.73362;+12.56004
HD161096               ; 4.51100e+00; 1.10000e-02;265.86814;+04.56730
HD161797               ; 1.88000e+00; 8.00000e-03;266.61469;+27.72068
HD163917               ; 2.78900e+00; 5.00000e-03;269.75663;-09.77363
HD169414               ; 2.94600e+00; 2.40000e-02;275.92454;+21.76975
HD170693               ; 2.04800e+00; 9.00000e-03;276.49641;+65.56347
HD172167               ; 3.28000e+00; 1.60000e-02;279.23473;+38.78369
HD176524               ; 1.79700e+00; 2.70000e-02;283.59941;+71.29718
HD176678               ; 2.46300e+00; 1.20000e-02;285.42011;-05.73911
HD180610               ; 1.63000e+00; 2.80000e-02;288.47966;+57.70508
HD181276               ; 2.14300e+00; 8.00000e-03;289.27570;+53.36846
HD183439               ; 4.40300e+00; 2.00000e-02;292.17637;+24.66490
HD186791               ; 7.05600e+00; 8.00000e-02;296.56492;+10.61326
HD187642               ; 3.30900e+00; 6.00000e-03;297.69583;+08.86832
HD187929               ; 1.80400e+00; 7.00000e-03;298.11821;+01.00566
HD188310               ; 1.65800e+00; 2.50000e-02;298.56201;+08.46145
HD196094               ; 4.47200e+00; 1.70000e-02;308.47578;+35.25084
HD203504               ; 2.31500e+00; 2.30000e-02;320.52166;+19.80451
HD204867               ; 2.70400e+00; 9.00000e-03;322.88972;-05.57118
HD206952               ; 1.81900e+00; 1.50000e-02;325.48046;+71.31146
HD209750               ; 3.06600e+00; 3.60000e-02;331.44598;-00.31985
HD211388               ; 3.37100e+00; 4.90000e-02;333.99240;+37.74873
HD212496               ; 1.95700e+00; 3.70000e-02;335.89010;+52.22905
HD213311               ; 5.88100e+00; 2.20000e-02;337.38259;+47.70689
HD215182               ; 3.47100e+00; 2.70000e-02;340.75052;+30.22112
HD218329               ; 4.23400e+00; 9.00000e-03;346.75108;+09.40949
HD219215               ; 5.22100e+00; 2.90000e-02;348.58067;-06.04900
HD219449               ; 2.22000e+00; 3.10000e-02;348.97290;-09.08773
HD219615               ; 2.48200e+00; 1.20000e-02;349.29141;+03.28229
HD222404               ; 3.25400e+00; 2.00000e-02;354.83709;+77.63236
HD140283               ; 3.27000e-01; 5.00000e-03;235.76290;-10.93350
HD122563               ; 9.37000e-01; 1.10000e-02;210.63269;+09.68610
HD103095               ; 6.01000e-01; 5.00000e-03;178.24487;+37.71868
HD25457                ; 5.82000e-01; 1.60000e-02;060.65310;-00.26892
HIP51317               ; 5.64000e-01; 2.10000e-02;157.23146;+00.84100
HD89744                ; 5.56000e-01; 3.20000e-02;155.54401;+41.22953
HD203156               ; 5.24000e-01; 3.90000e-02;319.84241;+38.23746
HD45410                ; 8.53000e-01; 1.30000e-02;097.69628;+58.16263
HD90043                ; 6.59000e-01; 9.00000e-03;155.86821;-00.90224
HD142091               ; 1.45600e+00; 2.00000e-02;237.80805;+35.65738
HD167042               ; 8.23000e-01; 1.10000e-02;272.63184;+54.28655
HD210702               ; 8.31000e-01; 1.10000e-02;332.96388;+16.04055

