angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,_RAJ2000_2,_DEJ2000_2,HIP,RAJ2000,DEJ2000,D,dplx,AV,Teff,L,Rad,log(g),T(AV),L(Av),T(ABJ),L(ABJ),Q,X(MIR),X'(MIR),S(MIR),Rmax,L(XS),f(XS),l(XS),G/H,F(U),F(u),F(BT),F(B),F(g),F(Hp),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(L),F(W2),F(MA),F(A9),F(W3),F(I12),F(MC),F(MD),F(A18),F(ME),F(W4),F(I25),Gaia
0.007107,242.5163094,26.7427481,113,2038-1873-1,*,HD 145457 b,140.73,1.44,0.04,8.3E-8,347.71,10.52,,1.23,,2.23,1,Simbad,242.51631,26.74275,242.51631,26.74275,79219,242.51631,26.74275,140.733,0.033,0.39,4740,47.564,10.241,2.39,4791,49.103,0,0.0,0.082,1.062,1.095,2.178,1.135,0.0039,8.2E-5,5.8,G,,,2753.13,,,7536.324,7996.562,8329.595,,,,,15940.0,17502.495,14966.852,6828.366,,,,1298.001,731.649,,,,316.5,,201.355,,Gaia
0.018354,254.5368733,25.7441592,115,2063-479-1,*,GJ 649 b,10.38,2.99,0.0,1.3E-8,225.46,0.5,,0.29,,,1,Simbad,254.53687,25.74416,254.53687889,25.74416,83043,254.536879,25.74416,10.376,0.004,0.309,3637,0.043,0.523,4.149,3674,0.044,0,0.0,0.076,0.0,0.0,0.0,1.084,0.0,0.0,0.0,G,,,87.142,,,486.631,433.814,481.087,,,,,4200.377,4616.363,3752.584,,,,,,,,,,,,,,Gaia
0.015268,259.4187106,29.2272289,116,2073-136-1,*,HD 156668 b,,4.17,0.0,1.5E-8,143.79,,,,,,0,Simbad,259.41871,29.22723,259.41870694,29.22722611,84607,259.418707,29.227226,24.474,0.021,0.317,4782,0.287,0.781,4.482,4754,0.288,0,0.0,0.03,0.974,0.965,0.0,1.047,0.0,0.0,0.0,H,,,522.669,,,1397.525,1449.784,,,,,,3675.262,3660.159,2644.42,,,,,217.0,,,,,,,,,Gaia
0.021611,261.4392917,27.3033353,117,2082-1290-1,*,HD 158038 b,96.13,1.31,0.04,3.5E-8,217.8,4.5,,1.3,,1.53,1,Simbad,261.43929,27.30334,261.43929,27.30334111,85294,261.43929,27.303341,96.128,0.03,0.247,4811,9.892,4.534,3.099,4758,9.988,0,0.0,0.03,0.994,0.996,0.0,1.033,0.0,0.0,22.1,G,,,1187.481,,,3282.763,3490.626,3737.867,,,,,7930.276,8074.208,5774.714,2693.499,,,,,276.632,,,,,,76.765,,Gaia
0.001300,270.6285933,26.3130014,119,2099-2717-1,*,HD 164922 b,22.04,1.84,0.0,4.6E-8,203.78,0.97,,0.76,,0.31,1,Simbad,270.62859,26.313,270.62859306,26.31300111,88348,270.628593,26.313001,22.036,0.006,0.608,5302,0.703,0.995,4.348,5393,0.74,0,0.0,0.027,0.0,0.0,0.0,1.046,0.0,0.0,0.0,G,,,2465.056,,,5168.917,5527.176,5683.605,,,,,9578.297,8493.759,6008.007,,,,,,,,,,,,,,Gaia
0.008730,286.336555,25.9206589,121,2126-1196-1,*,HD 177830 b,62.74,5.95,0.0,4.5E-8,241.51,3.26,,1.7,,1.69,1,Simbad,286.33655,25.92066,286.33655611,25.92066111,93746,286.336556,25.920661,62.742,0.023,2.118,4744,5.633,3.518,3.319,4862,6.317,0,0.0,0.034,0.997,0.996,0.0,1.08,0.0,0.0,22.1,G,,,1471.725,,,4321.152,4530.054,4705.696,,,,,11368.111,10683.166,7949.329,3773.26,,,,678.402,386.459,,,,,,107.044,,Gaia
0.007876,300.1821367,22.7108539,122,2141-972-1,*,HD 189733 b,19.84,1.77,0.0,2.7E-8,175.76,0.75,2.65,0.79,1.13,1.13,1,Simbad,300.18214,22.71085,300.18213889,22.71085306,98505,300.182139,22.710853,19.842,0.004,5.075,4959,0.332,0.782,4.529,5453,0.456,0,0.0,0.052,1.125,1.15,3.618,1.169,1.0E-4,2.31E-4,3.8,G,,,1140.32,,,2772.296,2908.729,,,,,,5933.191,5963.483,4050.704,,,,406.899,387.0,,,,,,,,,Gaia
0.004923,298.0189308,28.1003756,123,2148-1948-1,*,HD 188015 b,,1.11,0.0,1.4E-8,98.06,,,,,,0,Simbad,298.01893,28.10038,298.01893111,28.10037694,97769,298.018931,28.100377,57.013,0.048,22.851,5621,1.389,1.244,4.239,16267,37.306,0,0.0,0.044,0.995,0.992,0.103,1.125,0.0,2.4E-5,7.1,H,,,885.986,,,1667.246,1775.429,,,,,,2507.774,2108.142,1482.963,754.253,,388.857,137.096,111.3,69.615,,,,,,,,Gaia
0.006084,294.2989217,28.4998631,124,2150-5013-1,*,HD 185269 b,52.36,1.71,0.0,5.6E-8,177.87,2.0,,1.57,,1.09,1,Simbad,294.29892,28.49986,294.29892,28.49986389,96507,294.29892,28.499864,52.356,0.021,5.181,5830,4.77,2.144,3.804,6646,7.322,0,0.0,0.056,1.036,1.053,1.557,1.145,2.0E-4,4.6E-5,5.6,G,,,4339.371,,,7172.649,7587.581,7596.681,,,,,9892.096,7084.349,5247.234,2738.525,,,507.802,461.699,251.596,,,,,,71.181,,Gaia
0.006055,300.7532192,28.3068569,125,2153-1463-1,*,HD 190228 b,,2.13,0.0,3.6E-8,186.35,,,,,,1,Simbad,300.75322,28.30686,300.75322111,28.30685694,98714,300.753221,28.306857,63.4,0.021,14.659,5209,4.472,2.6,3.581,7470,14.514,0,0.0,0.042,1.05,1.063,2.167,1.077,2.0E-4,3.5E-5,5.9,G,,,1908.213,,,3917.415,4181.223,4252.3,,,,,7497.014,6821.815,4820.926,2065.936,,,426.998,428.402,236.321,,,,,,63.323,,Gaia
