angDist,_RAJ2000,_DEJ2000,recno,Name,m_Name,H09,logg,Teff,Fbol,[Fe/H],[a/Fe],RAJ2000,DEJ2000,RV,ageMLP,M.MLP,SimbadName2,_RAJ20002,_DEJ20002,recno2,Tycho2,more,Name2,Dist2,chi2,Av2,Fbol2,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad2,_RA2,_DE2
1.466686,128.512917,-1.568056,2202,HD 72659,,H09,4.18,5906.0,2.7688E-8,0.02,-0.01,08 34 03.1,-01 34 05,-18.4,5.2,1.07,HD 72659,128.5132925,-1.5682144,268,4862-360-1,*,HD 72659 b,51.83,0.75,0.0,2.8E-8,130.75,1.46,,1.43,,3.85,1,Simbad,128.51329,-1.56821
1.317647,129.07375,-34.459722,2217,HD 73267,,H09,4.41,5408.0,8.2138E-9,0.14,-0.03,08 36 17.7,-34 27 35,51.3,13.2,0.91,HD 73267,129.0740675,-34.4599778,390,7144-1553-1,*,HD 73267 b,,1.19,0.0,8.1E-9,84.98,,,,,,1,Simbad,129.07407,-34.45998
1.226955,129.318333,-41.318889,2227,HD 73526,,H09,4.07,5628.0,7.0869E-9,0.33,-0.04,08 37 16.4,-41 19 08,26.1,7.9,1.09,HD 73526,129.3186806,-41.3191081,411,7670-3068-1,*,HD 73526 b,95.37,0.52,0.03,7.4E-9,74.82,1.53,,1.14,,3.08,1,Simbad,129.31868,-41.31911
0.362731,130.604583,4.578056,2242,HD 74156,,H09,4.13,6174.0,2.5527E-8,0.14,-0.06,08 42 25.1,+04 34 41,3.7,3.4,1.28,HD 74156,130.6046756,4.5780964,17,219-1438-1,*,HD 74156 b,,1.16,0.0,2.4E-8,115.71,,,,,,0,Simbad,130.60468,4.5781
1.098093,131.917917,-41.736667,2264,HD 75289,,H09,4.32,6165.0,7.5009E-8,0.21,-0.08,08 47 40.3,-41 44 12,8.9,1.7,1.21,HD 75289,131.9182892,-41.7367931,412,7683-1503-1,*,HD 75289 b,28.97,2.36,0.0,7.3E-8,198.18,1.23,,1.29,,0.49,1,Simbad,131.91829,-41.73679
0.521996,133.461667,33.056667,2285,HD 75898,,H09,4.15,6105.0,1.6788E-8,0.3,-0.1,08 53 50.8,+33 03 24,21.3,3.3,1.27,HD 75898,133.4616892,33.0568108,139,2488-663-1,*,HD 75898 b,76.86,1.6,0.0,1.6E-8,94.08,1.55,,1.43,,2.7,1,Simbad,133.46169,33.05681
0.585597,133.48125,-66.800833,2310,HD 76700,,H09,4.18,5633.0,1.5027E-8,0.39,-0.05,08 53 55.5,-66 48 03,37.7,8.5,1.07,HD 76700,133.4813156,-66.8009936,479,8939-306-1,*,HD 76700 b,60.46,0.93,0.0,1.5E-8,105.5,1.37,,0.99,,0.21,1,Simbad,133.48132,-66.80099
0.885633,343.407917,-48.598056,12258,HD 216435,,H09,4.07,6005.0,1.0169E-7,0.19,-0.06,22 53 37.9,-48 35 53,-1.1,3.9,1.29,HD 216435,343.4080486,-48.5982861,453,8450-1093-1,*,tau Gru b,,1.95,0.0,9.9E-8,244.44,,,,,,0,Simbad,343.40805,-48.59829
0.548302,343.664167,-70.073611,12259,HD 216437,,H09,4.17,5885.0,1.0084E-7,0.2,-0.04,22 54 39.4,-70 04 25,-2.7,5.0,1.18,HD 216437,343.6645086,-70.0737092,492,9340-1818-1,*,HD 216437 b,,1.81,0.0,9.9E-8,252.33,,,,,,0,Simbad,343.66451,-70.07371
1.373709,344.36625,20.768611,12283,HD 217014,,H09,4.33,5814.0,1.7653E-7,0.2,-0.06,22 57 27.9,+20 46 07,-33.7,5.5,1.06,HD 217014,344.3665836,20.7688308,91,1717-2193-1,*,51 Peg b,,0.85,0.0,1.8E-7,349.06,,,,,,0,Simbad,344.36658,20.76883
0.721814,344.564583,-2.395278,12290,HD 217107,,H09,4.33,5640.0,9.2871E-8,0.37,-0.1,22 58 15.5,-02 23 43,-14.0,7.4,1.02,HD 217107,344.5647539,-2.3953831,289,5235-1468-1,*,HD 217107 b,20.0,2.8,0.0,8.9E-8,258.69,1.11,,1.0,,1.3,1,Simbad,344.56475,-2.39538
1.228646,140.945833,20.364444,2423,HD 81040,,H09,4.53,5770.0,2.2556E-8,-0.12,0.05,09 23 47.0,+20 21 52,48.9,0.2,0.98,HD 81040,140.9461969,20.3644536,71,1408-143-1,*,HD 81040 b,34.31,1.11,0.0,2.2E-8,123.56,0.91,,1.05,,7.27,1,Simbad,140.9462,20.36445
0.639063,143.71125,-12.129444,2469,HD 82943,,H09,4.38,6004.0,6.3308E-8,0.3,-0.1,09 34 50.7,-12 07 46,8.1,0.5,1.14,HD 82943,143.7113981,-12.1295467,306,5469-1000-1,*,HD 82943 b,,1.14,0.0,6.4E-8,193.68,,,,,,1,Simbad,143.7114,-12.12955
1.341979,147.51,-49.79,2545,HD 85390,,H09,4.57,5172.0,1.2025E-8,0.02,-0.09,09 50 02.4,-49 47 24,32.5,0.1,0.84,HD 85390,147.5104031,-49.7902669,439,8189-1278-1,*,HD 85390 b,33.3,1.57,0.0,1.2E-8,112.12,0.8,,0.54,,0.11,1,Simbad,147.5104,-49.79027
0.986849,53.2325,-9.458056,12480,HD 22049,AB,H09,,5207.0,,-0.04,-0.14,03 32 55.8,-09 27 29,16.0,0.5,0.81,HD 22049,53.2326872,-9.4582586,298,5296-1533-1,*,epsilon Eri b,,1.46,0.0,9.7E-7,1040.95,,,,,,0,Simbad,53.23269,-9.45826
0.713138,149.240833,-15.895,2570,HD 86264,,H09,4.14,6381.0,2.7576E-8,0.31,-0.1,09 56 57.8,-15 53 42,7.1,2.2,1.39,HD 86264,149.2409964,-15.8951206,330,6045-1121-1,*,HD 86264 b,,2.04,0.0,2.8E-8,112.16,,,,,,0,Simbad,149.241,-15.89512
1.324925,155.98,-29.645278,2699,HD 90156,,H09,4.49,5630.0,4.7429E-8,-0.24,0.17,10 23 55.2,-29 38 43,26.4,1.5,0.96,HD 90156,155.9803083,-29.6455303,363,6631-431-1,*,HD 90156 b,,0.68,0.0,4.8E-8,191.03,,,,,,1,Simbad,155.98031,-29.64553
0.854754,355.464583,-5.985556,12617,HD 222582,A,H09,4.35,5802.0,2.2826E-8,0.0,0.02,23 41 51.5,-05 59 08,11.5,7.2,0.99,HD 222582,355.4647083,-5.9857581,292,5258-491-1,*,HD 222582 b,42.32,1.19,0.0,2.3E-8,123.69,1.13,,1.12,,8.37,1,Simbad,355.46471,-5.98576
0.668702,160.702083,-2.183611,2775,HD 92788,,H09,4.32,5717.0,3.2359E-8,0.28,-0.07,10 42 48.5,-02 11 01,-5.0,6.8,1.04,HD 92788,160.7021983,-2.1837567,271,4913-618-1,*,HD 92788 b,34.63,0.92,0.0,3.2E-8,149.51,1.11,,1.15,,3.71,1,Simbad,160.7022,-2.18376
0.594988,176.21,-58.703611,3089,HD 102117,,H09,4.26,5675.0,2.8501E-8,0.28,-0.02,11 44 50.4,-58 42 13,48.9,8.1,1.04,HD 102117,176.2102539,-58.7037106,464,8642-742-1,*,HD 102117 b,39.5,0.86,0.0,2.9E-8,144.59,1.23,,1.06,,0.17,1,Simbad,176.21025,-58.70371
1.396296,179.23125,-12.107778,3143,HD 103774,,H09,4.23,6496.0,3.5882E-8,0.17,-0.07,11 56 55.5,-12 06 28,-3.4,1.7,1.35,HD 103774,179.2316233,-12.1079092,311,5521-1086-1,*,HD 103774 b,56.46,1.54,0.0,3.6E-8,120.95,1.47,,5.07,,,1,Simbad,179.23162,-12.10791
0.902157,183.372917,10.041389,3227,HD 106252,,H09,4.38,5903.0,2.927E-8,-0.06,0.04,12 13 29.5,+10 02 29,15.4,4.4,1.04,HD 106252,183.3729556,10.0416367,44,869-1019-1,*,HD 106252 b,37.79,0.67,0.0,2.9E-8,135.97,1.1,,1.01,,6.93,1,Simbad,183.37296,10.04164
1.272930,183.405,-9.513333,3228,HD 106270,,H09,3.74,5528.0,2.6303E-8,0.1,0.07,12 13 37.2,-09 30 48,23.7,4.0,1.35,HD 106270,183.4053553,-9.5133803,310,5519-1520-1,*,HD 106270 b,,1.25,0.0,2.6E-8,144.5,,,,,,0,Simbad,183.40536,-9.51338
0.686484,186.4425,-64.021944,3294,HD 108147,,H09,4.37,6236.0,4.1577E-8,0.03,-0.03,12 25 46.2,-64 01 19,-5.4,0.6,1.18,HD 108147,186.4427822,-64.0220892,481,8983-384-1,*,HD 108147 b,,0.92,0.0,4.2E-8,143.44,,,,,,1,Simbad,186.44278,-64.02209
