teff,rad,fbol_sed,fbol_bc
5566.786432292713,1.14,1.4e-07,1.3936970914079349e-07
6835.18859199216,2.06,2e-09,1.9853204912038086e-09
4775.565669333121,4.33,3.5e-08,3.010134595394833e-08
6118.332608243852,,6.2e-10,6.108689135216165e-10
4933.014698783789,5.09,1.3e-07,1.247670138477081e-07
4177.634286485099,38.41,5.7e-08,7.157348763882475e-08
4808.41369179724,0.89,6.9e-10,6.738421969093371e-10
5016.203901214847,,1e-08,1.0097096152862966e-08
6703.82226608556,1.81,1e-08,9.897422074669933e-09
6333.3230330879505,1.93,9.6e-09,1.003841016253441e-08
6446.884748668695,1.79,9.2e-10,9.064396380087778e-10
6346.441886190138,,3.4e-10,3.41125699250807e-10
6363.243994012832,1.41,1.6e-08,1.569871604152531e-08
6068.630394300928,1.55,1.6e-08,1.6502526843329064e-08
5961.350134951888,1.37,1.7e-09,1.630762986582132e-09
4940.327931588479,5.26,2.9e-08,2.8023124206735102e-08
4922.245979026789,0.79,3.2e-08,3.1493765516663104e-08
4550.474372143665,0.78,1.1e-08,1.0352871114464943e-08
6109.385884500966,1.73,2e-09,1.8094245184145572e-09
5865.973726554594,,8.7e-10,8.54434395666589e-10
5865.973726554594,,8.7e-10,5.249025985555063e-10
5806.772126250707,,1.9e-07,1.9242906796897812e-07
4827.819698239652,,4e-07,4.2772731583656387e-07
5925.693532826597,1.38,3.5e-08,3.3821832194082985e-08
6202.720439853934,1.66,6.3e-10,5.997283050060228e-10
5943.605205059836,1.12,4.7e-10,4.6111764749916385e-10
6444.9117232693625,1.44,1.7e-09,1.6391410455776665e-09
5573.400667094443,1.08,1.9e-08,1.6827798514019484e-08
4744.458147591134,,1.3e-07,1.1373266990034105e-07
5222.951162191111,0.85,6.1e-10,5.869436193542436e-10
4921.715199139781,8.13,7.6e-08,7.957477004353319e-08
5807.409351029876,,2e-08,1.9606784922097525e-08
5267.462974030801,0.87,2e-09,1.945490157714023e-09
6209.584201125024,1.57,2.2e-09,2.159752656289942e-09
5888.3796204870105,1.17,4e-10,4.135895729574839e-10
6110.859879682884,,1.2e-09,1.1872744202776217e-09
3562.3746428191985,0.36,4.8e-08,5.4677888683729606e-08
6163.340069774513,,6e-07,5.731226984200683e-07
7277.222346318299,1.55,1.4e-08,1.3424331320556619e-08
5982.233988009089,1.72,3.2e-08,3.33609522155575e-08
5850.4105155001835,1.25,2.4e-08,2.403058021097467e-08
5565.134566030487,,9.1e-09,9.141217440771941e-09
6030.85532319068,1.53,3.3e-08,3.349453717014366e-08
5572.034594237632,1.07,8.4e-10,8.440853973704991e-10
5598.545078133115,,2e-08,1.9587248641296527e-08
6201.217254640496,,1.6e-08,1.6968564247498542e-08
6165.127070377727,1.21,5.3e-08,5.26520742642957e-08
5605.7064055358305,1.02,1.6e-08,1.623128931416713e-08
6314.26131440104,1.7,3e-09,2.935613448681848e-09
6185.875606420744,,1.3e-07,1.3331739794171626e-07
5888.325108350441,,2.6e-07,2.2102370356135572e-07
4235.960401404325,41.01,2.7e-08,2.769534978219711e-08
3947.176958915019,51.1,6.4e-08,6.819973904505757e-08
5595.112722676642,1.21,5.7e-10,5.450249171262289e-10
4906.336891370203,6.29,3e-08,3.061064043112832e-08
5557.635517623633,1.0,3.3e-10,3.398990615069728e-10
5986.176097190952,,8.3e-09,7.814082303969002e-09
5986.176097190952,,8.3e-09,7.373572949425529e-09
6162.976088043043,1.41,1.4e-08,1.4933880740403078e-08
6402.336163342074,1.71,8.5e-09,8.106952182919e-09
5339.682836730773,0.93,6.4e-08,6.8794560131081e-08
6574.792903344708,1.82,2.8e-09,2.8104413637871033e-09
5705.570940500461,1.05,6.7e-10,6.58341115788821e-10
5415.466934459733,0.79,3.6e-09,3.6618007749267533e-09
5657.865392668104,0.98,2.9e-09,2.808928401030881e-09
6828.696891224002,1.75,9.1e-10,8.978024550132913e-10
5081.957903426739,0.75,6.9e-10,6.792185556404358e-10
6125.166537220053,1.18,5.1e-08,4.9979178558227235e-08
4640.4963125804215,9.83,9.5e-09,9.24905083919459e-09
4674.840234429557,,2.8e-07,4.258016043511935e-07
6546.099922388009,1.62,1.8e-09,1.797455314410421e-09
6202.681944586029,1.19,8.7e-10,8.264977235574942e-10
6096.621519192341,1.3,6.2e-10,6.106422439603107e-10
4334.894349780426,13.58,3.7e-08,3.586735959072751e-08
4392.90034725379,,1.4e-08,1.402393950295279e-08
5286.869110135967,,1e-09,9.809236310571414e-10
5408.2504138899185,1.0,1.1e-09,1.085654870264546e-09
5628.942959511908,,1.6e-09,1.5786226635708553e-09
