teff,rad,fbol_sed,fbol_bc
5582.799751482768,2.3,3.6e-08,3.75405361360531e-08
5723.995737363925,1.32,1.4e-08,1.4603072412477151e-08
6050.005486295577,2.55,1.9e-09,1.8566431499082655e-09
5112.208561328164,0.85,8.7e-09,9.041548914517135e-09
6344.707460743813,,2e-08,2.0462969695139197e-08
5688.817848833924,1.02,6.5e-08,6.66016532336612e-08
5342.881780995384,0.97,1.7e-08,1.7072065478036987e-08
5767.268428458476,1.64,9.9e-09,9.635131645839471e-09
6230.942590793608,1.25,2.1e-08,2.090087299119716e-08
6933.156360698263,1.57,1.5e-09,1.5465758201674532e-09
4865.685922354516,,4.7e-08,4.9269006471743206e-08
6217.052134312152,1.23,2.2e-09,2.166584458289263e-09
5615.5198402536325,0.88,1.8e-08,1.7935668978256985e-08
5639.0498202992,1.37,1.5e-08,1.5506279787515326e-08
4445.331616787818,19.98,5.6e-09,5.309132990024513e-09
6255.852939439009,,4.2e-08,4.289972236322943e-08
5921.841946001286,1.04,3e-08,3.1244736449449275e-08
5540.257630708881,0.92,1.4e-08,1.3813918966937655e-08
4882.606776644352,0.79,1.4e-08,1.5009883583833072e-08
5909.363097641034,1.42,2.7e-08,2.7247036300955952e-08
4900.124238093338,,4.1e-07,3.822337697956261e-07
5981.713449855757,1.49,5.7e-08,5.7217328974549014e-08
5173.687316711385,,5.3e-09,5.676400234954079e-09
5496.784423002833,0.9,2.6e-08,2.5113165267209385e-08
5908.100478861556,1.08,1.5e-08,1.548283098576352e-08
5608.999298781652,1.75,1.7e-08,1.8564332413366964e-08
5844.316152853282,,9.9e-08,1.066267943325132e-07
5517.963784451031,,6.5e-08,6.609970536708675e-08
4804.177363408044,0.77,6.3e-09,6.241567920007177e-09
5921.130899710598,,1.4e-07,1.4289776479711553e-07
5175.095273640078,0.88,9.8e-09,9.541311232930878e-09
6272.802782547816,1.16,2.1e-08,2.176875689627286e-08
6272.802782547816,1.16,2.1e-08,1.2818394383348536e-08
5421.558223338389,1.04,2.3e-08,2.271373196751002e-08
