angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.432751,133.0997581,13.2334353,42,817-1748-1,*,HD 75784 b,83.72,4.25,0.0,2.4E-8,176.01,3.17,,1.33,,5.42,1,Simbad,133.09976,13.23344,08522396+1314005,133.099871,+13.233484,0.070,0.070,90,6.092,5.626,5.502,0.023,0.020,0.024,AAA,111,0,2450768.0055
0.447821,154.5886989,12.6211081,43,843-568-1,*,HD 89307 b,32.18,1.03,0.0,4.3E-8,159.15,1.1,,1.27,,2.11,1,Simbad,154.5887,12.62111,10182131+1237160,154.588824,+12.621132,0.160,0.060,90,5.891,5.645,5.564,0.021,0.021,0.026,AAA,111,0,2450786.0414
0.257821,183.3729556,10.0416367,44,869-1019-1,*,HD 106252 b,37.79,0.67,0.0,2.9E-8,135.97,1.1,,1.01,,6.93,1,Simbad,183.37296,10.04164,12132949+1002299,183.372883,+10.041641,0.070,0.070,90,6.302,6.016,5.929,0.024,0.047,0.026,AAA,111,0,2451617.8028
0.138371,176.5980642,14.1239869,45,870-114-1,*,HD 102272 b,355.38,1.23,0.1,1.3E-8,134.83,10.3,,1.45,,4.94,1,Simbad,176.59806,14.12399,11462354+1407264,176.598086,+14.124019,0.060,0.060,90,6.895,6.402,6.259,0.017,0.026,0.016,AAA,111,0,2450821.0469
1.226002,202.1075358,13.7787881,46,898-1042-1,*,70 Vir b,18.28,1.47,0.0,2.7E-7,467.31,1.84,,1.14,,7.62,1,Simbad,202.10754,13.77879,13282584+1346447,202.107692,+13.779093,0.300,0.290,0,3.798,3.457,3.500,0.286,0.206,0.294,DCD,333,0,2450839.9703
0.047770,219.0023344,9.7465175,47,910-165-1,*,HD 128311 b,,4.56,0.0,3.3E-8,203.13,,,,,,0,Simbad,219.00233,9.74652,14360055+0944474,219.002325,+9.746527,0.070,0.060,90,5.772,5.303,5.142,0.018,0.031,0.017,AAA,111,0,2451639.7164
0.050114,243.9598525,10.0325778,48,950-1156-1,*,WASP-38 b,137.77,1.08,0.04,5.1E-9,51.26,1.52,0.71,1.76,1.23,3.44,1,Simbad,243.95985,10.03258,16155036+1001572,243.959845,+10.032566,0.070,0.060,0,8.287,8.106,7.998,0.023,0.047,0.040,AAA,111,0,2451687.7011
0.147807,253.4315942,11.9737472,49,983-872-1,*,HD 152581 b,167.89,3.44,0.08,1.6E-8,133.08,4.8,,1.72,,2.28,1,Simbad,253.43159,11.97375,16534357+1158255,253.431554,+11.973759,0.110,0.090,0,6.673,6.244,6.173,0.018,0.017,0.015,AAA,111,0,2450641.7618
0.148838,274.7434358,10.5972553,50,1014-973-1,*,HAT-P-57 b,313.95,0.98,0.0,1.6E-9,27.45,1.85,0.62,2.77,1.74,1.41,1,Simbad,274.74344,10.59726,18185842+1035502,274.743421,+10.597294,0.070,0.060,0,9.670,9.497,9.433,0.027,0.029,0.024,AAA,222,0,2451382.5753
0.066193,277.2957544,11.6955008,51,1031-1530-1,*,HD 170469 b,60.55,1.35,0.0,1.4E-8,94.97,1.24,,1.1,,0.66,1,Simbad,277.29575,11.6955,18291097+1141437,277.295740,+11.695489,0.070,0.060,0,7.047,6.779,6.707,0.020,0.034,0.018,AAA,111,0,2451382.6645
